名称及规格,单位,数量,市场价,合计
金属软管接头 Φ20,个,29.44,0.51,15.01
终端头卡子 ,个,230.72,2.5,576.8
瓷接头 双路,个,310.03,0.39,120.91
黑胶布带 20*20,卷,14.544,2,29.09
黄腊布带20*50 ,盘,2.65,7.45,19.74
黄漆布带 25,卷,7.92,16.04,127.04
塑料胶布带 25*10,卷,234.2337,0.96,224.86
自粘性橡胶带 ,卷,138.24,2.38,329.01
酚醛层压板 δ10～20,m2,0.08,859,68.72
裸铜线 10mm2,m,125.44,1.94,243.35
绝缘导线 BV-2.5,m,2500.823,0.62,1550.51
绝缘导线 BV-4,m,485.301,0.95,461.04
绝缘导线 BV-6,m,2,1.37,2.74
绝缘导线 BV-6,m,13,1.37,17.81
绝缘导线 BV-10,m,7.38,2.46,18.15
绝缘导线 BV-10,m,85.5993,2.46,210.57
绝缘导线 RVS2*1.0,m,374.115,0.81,303.03
绝缘导线 BV105-2.5,m,94.77,0.77,72.97
裸铜线 6mm2,m,3,1.08,3.24
塑料胶线 2*1.6/0.15,m,223.5,0.35,78.23
其他构件 ,t,0.2875,6752,1941.2
其他材料费 ,元,8459.8264,1,8459.83
钢筋成型加工及运费 Φ10以内,kg,3.5875,0.135,0.48
材料费 ,元,0.832,1,0.83
汽车起重机 5t,台班,1.9717,388.88,766.75
汽车起重机 8t,台班,0.0507,492.38,24.96
汽车起重机 10t,台班,0.2839,569.84,161.78
载重汽车 4t,台班,0.48,275.62,132.3
载重汽车 5t,台班,1.1717,340.29,398.72
载重汽车 8t,台班,1.0584,446.02,472.07
载重汽车 10t,台班,0.2839,520.96,147.9
汽车起重机 16t,台班,0.087,819.8,71.32
其他机具费 ,元,20794.8095,1,20794.81
机械费调整 ,元,-0.0215,1,-0.02
钢筋 Φ10以内,kg,3.5875,3.57,12.81
型钢 ,kg,1.256,3.75,4.71
圆钢 Φ10以内,kg,36.6262,3.57,130.76
角钢 63以内,kg,356.304,3.72,1325.45
槽钢 16以内,kg,227.76,3.87,881.43
镀锌扁钢 ,kg,1886.1079,4.69,8845.85
镀锌圆钢 Φ10以内,kg,64.544,4.59,296.26
镀锌圆钢 Φ10以外,kg,247.7629,4.89,1211.56
单相带保护门二、三极插座 ,个,106.08,6.5,689.52
单相二、三极防溅插座（卫生间） ,个,110.16,8.6,947.38
单相带保护门二、三极插座（卧室、起居室） ,个,1101.6,6.5,7160.4
单相带保护门二、三极防溅插座 ,个,8.16,8.6,70.18
单相三极空调插座 ,个,496.74,7.45,3700.71
单相三极带开关防溅插座（洗衣机） ,个,183.6,7.25,1331.1
单相三极带开关防溅插座（抽油烟机） ,个,146.88,7.25,1064.88
单相三极防溅插座（电热水器） ,个,146.88,6.7,984.1
单相三极防溅插座（冰箱） ,个,146.88,6.1,895.97
单相三极防溅插座（燃气报警用） ,个,146.88,6.1,895.97
单相二、三极防溅插座（厨房） ,个,293.76,8.6,2526.34
单控单联跷板开关 ,个,564.06,4.2,2369.05
单控双联跷板开关 ,个,350.88,5.1,1789.49
单联三接点声光控延时开关 ,个,93.84,35.2,3303.17
单控三联跷板开关 ,个,37.74,6.2,233.99
带指示灯单控单联跷板开关 ,个,2.04,5.7,11.63
单控单联防潮跷板开关 ,个,3.06,5.9,18.05
风扇 ,台,1,150,150
安全出口指示灯（自带蓄电池） ,套,103.02,110,11332.2
双管荧光灯（自带电容补偿） ,套,61.61,75,4620.75
机房防潮灯 ,套,36.36,53,1927.08
单向安全疏散指示灯（自带蓄电池） ,套,15.15,110,1666.5
单管荧光灯（自带电容补偿） ,套,9.09,45,409.05
防潮吸顶灯 ,套,2.02,45,90.9
走道普通吸顶灯 ,套,167.66,40,6706.4
普通灯 ,套,94.94,49,4652.06
设备层吸顶灯 ,套,17.17,49,841.33
铜端子 10,个,438.48,16.5,7234.92
铜端子 16,个,438.48,16.5,7234.92
铜端子 25,个,36.54,16.5,602.91
铜端子 35,个,36.54,16.5,602.91
铜端子 50,个,73.08,16.5,1205.82
铜端子 70,个,73.08,19,1388.52
塑料手套 ST型,个,117.6,6,705.6
电缆桥架SR800*150加隔板 ,m,16.9845,400.05,6794.65
电缆桥架SR400*150加隔板 ,m,153.2625,211.25,32376.7
电缆桥架SR100*50 ,m,15.678,47.74,748.47
电缆桥架SR200*100 ,m,175.8449,94.45,16608.55
电缆桥架SR300*100 ,m,1.407,119.85,168.63
电缆桥架SR100*100 ,m,32.964,60.49,1993.99
电缆桥架SR500*100 ,m,21.9593,207.88,4564.9
金属抱箍 ,套,182.31,5,911.55
BV-2.5 ,m,33650.672,1.41,47447.45
BV-2.5 ,m,738.7344,1.41,1041.62
BV25 ,m,90.195,13.69,1234.77
NHBV-2.5 ,m,9961.0012,2.62,26097.82
ZRBV-2.5 ,m,404.376,1.55,626.78
ZRBV-4 ,m,533.252,2.4,1279.8
BV-4 ,m,28887.384,2.18,62974.5
BV10 ,m,6904.38,5.83,40252.54
BV35 ,m,162.54,18.87,3067.13
BV70 ,m,325.08,38.62,12554.59
接地编织铜线 ,m,158.8,10,1588
NHYJV-4*25+1*16 ,m,403.1314,96.52,38910.24
ZRYJV-4*6 ,m,36.36,18.83,684.66
ZRYJV-4*50+1*25 ,m,375.114,149.51,56083.29
NHYJV-5*10 ,m,54.54,51.87,2828.99
YJV-4*50+1*25 ,m,29.997,135.92,4077.19
YJV-5*2.5 ,m,111.1,10.38,1153.22
NHYJV-5*16 ,m,530.2096,71.46,37888.78
NHYJV-5*4 ,m,57.166,25.11,1435.44
YJV-4*240+1*120 ,m,78.78,666.23,52485.6
YJV-5*4 ,m,11.817,14.88,175.84
YJV-5*6 ,m,271.387,20.89,5669.27
ZRJV-4*25+1*16 ,m,155.3986,84.07,13064.36
ZRJV-4*50+1*25 ,m,508.535,149.51,76031.07
ZRYJV-4*25+1*16 ,m,235.128,84.07,19767.21
防火材料 ,m3,0.798,2500,1995
防火材料 ,m3,0.063,2500,157.5
防火材料 ,m3,0.294,2500,735
防火材料 ,m3,0.798,2500,1995
防火材料 ,m3,0.21,2500,525
端子箱 ,台,148,50,7400
总等电位箱 ,台,1,220,220
