名称及规格,单位,数量,市场价,合计,单位面积用量
自粘性橡胶带 ,卷,138.24,2.38,329.01,0.0108202880401
膨胀螺栓 Φ8,套,489.6,0.66,323.14,0.0383218534753
膨胀螺栓 Φ10,套,216.24,1.43,309.22,0.0169254852849
封铅 ,kg,11.0643,27.54,304.71,0.00086602222918
绝缘导线 RVS2*1.0,m,374.115,0.81,303.03,0.0292826393237
塑料护口 15～25,个,3008.1647,0.1,300.82,0.235454344083
荧光灯吊链 ,m,138.0,2.17,299.46,0.0108015028178
镀锌圆钢 Φ10以内,kg,64.544,4.59,296.26,0.00505197244834
三合板 ,m2,25.192,11.42,287.69,0.00197182216656
塑料软管 ,kg,35.81,7.99,286.12,0.00280291170946
KBG接地卡子 Φ20,个,1036.2006,0.24,248.69,0.0811052442079
裸铜线 10mm2,m,125.44,1.94,243.35,0.00981840951785
单控三联跷板开关 ,个,37.74,6.2,233.99,0.00295397620539
绝缘导线 BV-10,m,92.9793,2.46,228.72,0.00727765341265
路名牌 ,张,114.24,2.0,228.48,0.0089417658109
塑料胶布带 25*10,卷,234.2337,0.96,224.86,0.0183338838447
总等电位箱 ,台,1.0,220.0,220.0,7.82717595492e-05
膨胀螺栓 Φ6,套,516.12,0.42,216.77,0.0403976205385
塑料软管 Φ9,m,864.0,0.23,198.72,0.0676268002505
砂子 ,kg,5179.7438,0.036,186.47,0.40542766124
油麻绳 ,kg,17.7,10.26,181.6,0.00138541014402
橡胶垫 δ=2,m2,8.9267,20.0,178.53,0.000698708515967
塑料带 20*40,卷,44.36,3.99,177.0,0.0034721352536
沥青漆 ,kg,45.6497,3.86,176.21,0.00357308234189
YJV-5*4 ,m,11.817,14.88,175.84,0.000924937382592
电缆桥架SR300*100 ,m,1.407,119.85,168.63,0.000110128365686
KBG螺纹管接头 Φ32,个,39.0113,4.3,167.75,0.0030534830933
镀锌电缆卡子 3*35,个,146.2457,1.13,165.26,0.0114469082655
汽车起重机 10t,台班,0.2839,569.84,161.78,2.2221352536e-05
镀锌垫圈 10,个,3880.1137,0.04,155.2,0.30370332655
镀锌电缆卡子 2*35,个,160.2287,0.94,150.61,0.0125413822793
镀锌垫圈 8,个,3750.7345,0.04,150.03,0.293576588917
风扇 ,台,1.0,150.0,150.0,7.82717595492e-05
载重汽车 10t,台班,0.2839,520.96,147.9,2.2221352536e-05
钢保护管 40*400,根,41.6101,3.53,146.88,0.00325689574202
接线盒盖 ,个,146.88,1.0,146.88,0.0114965560426
镀锌钢管 50,m,5.55,26.04,144.52,0.000434408265498
KBG直管接头 Φ20,个,287.8335,0.5,143.92,0.0225292345022
载重汽车 4t,台班,0.48,275.62,132.3,3.75704445836e-05
黄漆布带 25,卷,7.92,16.04,127.04,0.000619912335629
防水粉 ,kg,20.8,6.1,126.88,0.00162805259862
焊接钢管接头 32,个,82.8285,1.52,125.9,0.00648313243582
圆钉 ,kg,34.0576,3.64,123.97,0.00266574827802
瓷接头 双路,个,310.03,0.39,120.91,0.024266593613
焊接钢管接头 40,个,62.4427,1.82,113.65,0.0048875
锁紧螺母 25,个,401.4992,0.28,112.42,0.0314260488416
镀锌带母螺栓 8*16～25,套,606.9972,0.16,97.12,0.0475107388854
防潮吸顶灯 ,套,2.02,45.0,90.9,0.000158108954289
石子 综合,kg,2815.245,0.032,90.09,0.220354179712
相色带 ,卷,24.6,3.52,86.59,0.00192548528491
塑料软管 Φ16,m,144.0,0.56,80.64,0.0112711333751
铅油 ,kg,11.0175,7.3,80.43,0.000862359110833
塑料护口(钢管) 25,个,401.4992,0.2,80.3,0.0314260488416
塑料胶线 2*1.6/0.15,m,223.5,0.35,78.23,0.0174937382592
沥青清漆 ,kg,19.2723,3.86,74.39,0.00150847683156
绝缘导线 BV105-2.5,m,94.77,0.77,72.97,0.00741781465247
红机砖 ,块,144.0,0.5,72.0,0.0112711333751
汽车起重机 16t,台班,0.087,819.8,71.32,6.80964308078e-06
单相带保护门二、三极防溅插座 ,个,8.16,8.6,70.18,0.000638697557921
酚醛层压板 δ10～20,m2,0.08,859.0,68.72,6.26174076393e-06
200号溶剂汽油 ,kg,28.5144,2.4,68.43,0.00223187226049
镀锌铁丝 8#-12#,kg,17.7713,3.85,68.42,0.00139099092048
塑料护口(钢管) 20,个,673.5428,0.1,67.35,0.0527193800877
镀锌带母螺栓 10*40～60,套,167.1576,0.4,66.86,0.013083719474
入盒接头及锁扣 32,套,13.2716,4.9,65.03,0.00103879148403
金属软管 Φ20,m,20.6,2.91,59.95,0.00161239824671
铜端子 6,个,42.63,1.4,59.68,0.00333672510958
焊接钢管接头70 ,个,17.3813,3.26,56.66,0.00136046493425
紫铜板 ,kg,2.4,23.6,56.64,0.000187852222918
酚醛防锈漆 ,kg,5.6193,9.4,52.82,0.000439832498435
沥青绝缘漆 ,kg,7.3271,6.91,50.63,0.000573505009393
KBG接地卡子 Φ32,个,117.0338,0.43,50.32,0.00916044145272
镀锌带母螺栓 12*40～60,套,106.08,0.47,49.86,0.00830306825297
镀锌六角螺栓 16*35～60,个,68.4553,0.65,44.5,0.00535811678147
乙炔气 ,m3,2.95,15.0,44.25,0.00023090169067
KBG直管接头 Φ32,个,39.0113,1.1,42.91,0.0030534830933
镀锌蝶形螺母 10,个,68.4553,0.49,33.54,0.00535811678147
镀锌机螺钉 M6,套,114.24,0.286,32.67,0.0089417658109
木螺丝 ,个,1484.62,0.021,31.18,0.116203819662
普通钢板 δ=1-1.5,kg,8.4,3.58,30.07,0.000657482780213
黑胶布带 20*20,卷,14.544,2.0,29.09,0.00113838447088
带母螺钉 5*15,套,821.4631,0.034,27.93,0.0642973622417
锁紧螺母 32,个,77.6517,0.34,26.4,0.00607793519098
汽车起重机 8t,台班,0.0507,492.38,24.96,3.96837820914e-06
锁紧螺母 40,个,58.5401,0.41,24.0,0.00458203663118
直管接头 32,个,13.2716,1.8,23.89,0.00103879148403
塑料护口(钢管) 40,个,58.5401,0.4,23.42,0.00458203663118
塑料软管 Φ12,m,72.0,0.3,21.6,0.00563556668754
绝缘导线 BV-6,m,15.0,1.37,20.55,0.00117407639324
黄腊布带20*50 ,盘,2.65,7.45,19.74,0.000207420162805
焊接钢管接头 50,个,7.3171,2.61,19.1,0.000572722291797
金属软管卡子 20,个,58.88,0.32,18.84,0.00460864120225
单控单联防潮跷板开关 ,个,3.06,5.9,18.05,0.00023951158422
塑料软管 Φ7,m,114.714,0.15,17.21,0.00897886662492
塑料护口(钢管) 32,个,77.6517,0.2,15.53,0.00607793519098
尼龙接头 20,个,29.44,0.52,15.31,0.00230432060113
铜制带母螺栓 6*30,套,32.64,0.46,15.01,0.00255479023168
金属软管接头 Φ20,个,29.44,0.51,15.01,0.00230432060113
氧气 ,m3,4.91,3.0,14.73,0.000384314339386
镀锌锁紧螺母(金属软管用) 20,个,58.24,0.24,13.98,0.00455854727614
镀锌弹簧垫圈 10,个,1907.4133,0.007,13.35,0.149296595178
钢筋 Φ10以内,kg,3.5875,3.57,12.81,0.000280799937383
焊接钢管接头 15,个,33.0721,0.36,11.91,0.00258861145899
带指示灯单控单联跷板开关 ,个,2.04,5.7,11.63,0.00015967438948
锁紧螺母 70,个,17.3813,0.64,11.12,0.00136046493425
塑料护口(钢管) 70,个,17.3813,0.6,10.43,0.00136046493425
银粉涂料 ,kg,0.708,12.86,9.1,5.54164057608e-05
酚醛磁漆 ,kg,0.66,13.3,8.78,5.16593613024e-05
钢板垫板 ,kg,3.0,2.67,8.01,0.000234815278647
胶木线夹 ,个,48.0,0.16,7.68,0.00375704445836
镀锌弹簧垫圈 8,个,1867.7172,0.004,7.47,0.146189511584
硬脂酸 ,kg,0.7138,10.21,7.29,5.58703819662e-05
塑料异形管 Φ5,m,30.5,0.19,5.8,0.00238728866625
锁紧螺母 15,个,31.0051,0.18,5.58,0.002426823732
型钢 ,kg,1.256,3.75,4.71,9.83093299937e-05
标志牌 ,个,213.4721,0.02,4.27,0.0167088368817
硬塑料管 15,m,3.6,1.13,4.07,0.000281778334377
镀锌带母螺栓 8*30～60,套,15.3,0.26,3.98,0.0011975579211
镀锌带母螺栓 16*85～100,套,2.04,1.93,3.94,0.00015967438948
垫铁 ,kg,2.19,1.65,3.61,0.000171415153413
锁紧螺母 50,个,6.8598,0.49,3.36,0.000536928616155
裸铜线 6mm2,m,3.0,1.08,3.24,0.000234815278647
塑料护口(钢管) 15,个,31.0051,0.1,3.1,0.002426823732
镀锌角钢 ,kg,0.916,3.37,3.09,7.1696931747e-05
地脚螺栓 10*100,套,8.16,0.36,2.94,0.000638697557921
塑料护口(钢管) 50,个,6.8598,0.4,2.74,0.000536928616155
镀锌垫圈 6,个,28.56,0.04,1.14,0.00223544145272
材料费 ,元,0.832,1.0,0.83,6.51221039449e-05
钢筋成型加工及运费 Φ10以内,kg,3.5875,0.135,0.48,0.000280799937383
镀锌垫圈 16,个,2.04,0.1,0.2,0.00015967438948
塑料胀塞 ,个,4.2,0.03,0.13,0.000328741390106
人工费调整 ,元,0.0274,1.0,0.03,2.14464621165e-06
机械费调整 ,元,-0.0215,1.0,-0.02,-1.68284283031e-06
